100 100
8 15 N
9 15 N
10 15 N
13 15 N
26 15 N
29 15 N
30 15 N
31 15 N
32 15 N
35 15 N
38 15 N
39 15 N
1 16 N
2 16 N
3 16 N
4 16 N
7 16 N
10 16 N
11 16 N
13 16 N
14 16 N
16 16 N
17 16 N
18 16 N
19 16 N
20 16 N
21 16 N
22 16 N
23 16 N
25 16 N
26 16 N
28 16 N
29 16 N
32 16 N
35 16 N
37 16 N
38 16 N
1 17 N
4 17 N
5 17 N
6 17 N
7 17 N
10 17 N
13 17 N
16 17 N
23 17 N
26 17 N
29 17 N
32 17 N
33 17 N
34 17 N
35 17 N
38 17 N
0 18 N
1 18 N
4 18 N
7 18 N
8 18 N
9 18 N
10 18 N
13 18 N
14 18 N
16 18 N
18 18 N
19 18 N
20 18 N
21 18 N
23 18 N
25 18 N
26 18 N
29 18 N
30 18 N
31 18 N
32 18 N
35 18 N
38 18 N
39 18 N
1 19 N
2 19 N
3 19 N
4 19 N
7 19 N
10 19 N
11 19 N
12 19 N
13 19 N
16 19 N
18 19 N
19 19 N
20 19 N
21 19 N
23 19 N
26 19 N
27 19 N
28 19 N
29 19 N
32 19 N
35 19 N
36 19 N
38 19 N
1 20 N
4 20 N
5 20 N
6 20 N
7 20 N
10 20 N
13 20 N
14 20 N
15 20 N
16 20 N
18 20 N
19 20 N
21 20 N
22 20 N
23 20 N
25 20 N
26 20 N
29 20 N
32 20 N
33 20 N
34 20 N
35 20 N
38 20 N
0 21 N
1 21 N
4 21 N
7 21 N
8 21 N
9 21 N
10 21 N
13 21 N
16 21 N
18 21 N
19 21 N
20 21 N
21 21 N
23 21 N
26 21 N
29 21 N
30 21 N
31 21 N
32 21 N
35 21 N
38 21 N
39 21 N
1 22 N
2 22 N
3 22 N
4 22 N
7 22 N
10 22 N
12 22 N
13 22 N
14 22 N
16 22 N
18 22 N
19 22 N
20 22 N
21 22 N
23 22 N
25 22 N
26 22 N
27 22 N
29 22 N
32 22 N
35 22 N
37 22 N
38 22 N
1 23 N
4 23 N
5 23 N
6 23 N
7 23 N
10 23 N
13 23 N
16 23 N
23 23 N
26 23 N
29 23 N
32 23 N
33 23 N
34 23 N
35 23 N
38 23 N
0 24 N
1 24 N
4 24 N
7 24 N
8 24 N
9 24 N
10 24 N
13 24 N
14 24 N
16 24 N
17 24 N
18 24 N
19 24 N
20 24 N
21 24 N
22 24 N
23 24 N
25 24 N
26 24 N
29 24 N
30 24 N
31 24 N
32 24 N
35 24 N
38 24 N
39 24 N
1 25 N
2 25 N
3 25 N
4 25 N
7 25 N
10 25 N
11 25 N
12 25 N
13 25 N
26 25 N
27 25 N
28 25 N
29 25 N
32 25 N
35 25 N
36 25 N
38 25 N
1 26 N
4 26 N
5 26 N
6 26 N
7 26 N
10 26 N
13 26 N
14 26 N
16 26 N
18 26 N
20 26 N
22 26 N
24 26 N
25 26 N
26 26 N
29 26 N
32 26 N
33 26 N
35 26 N
38 26 N
0 27 N
1 27 N
4 27 N
7 27 N
8 27 N
9 27 N
10 27 N
13 27 N
14 27 N
15 27 N
16 27 N
17 27 N
18 27 N
19 27 N
20 27 N
21 27 N
22 27 N
23 27 N
24 27 N
25 27 N
26 27 N
29 27 N
30 27 N
31 27 N
32 27 N
35 27 N
38 27 N
39 27 N
1 28 N
2 28 N
3 28 N
4 28 N
7 28 N
10 28 N
12 28 N
13 28 N
14 28 N
15 28 N
16 28 N
17 28 N
18 28 N
19 28 N
20 28 N
21 28 N
22 28 N
23 28 N
24 28 N
25 28 N
26 28 N
28 28 N
29 28 N
32 28 N
35 28 N
37 28 N
38 28 N
1 29 N
4 29 N
5 29 N
6 29 N
7 29 N
10 29 N
13 29 N
14 29 N
15 29 N
16 29 N
17 29 N
18 29 N
19 29 N
20 29 N
21 29 N
22 29 N
23 29 N
24 29 N
25 29 N
26 29 N
29 29 N
32 29 N
34 29 N
35 29 N
38 29 N
0 30 N
1 30 N
4 30 N
7 30 N
8 30 N
9 30 N
10 30 N
13 30 N
15 30 N
16 30 N
17 30 N
18 30 N
19 30 N
20 30 N
21 30 N
22 30 N
23 30 N
24 30 N
26 30 N
29 30 N
30 30 N
31 30 N
32 30 N
35 30 N
38 30 N
39 30 N
1 31 N
2 31 N
3 31 N
4 31 N
7 31 N
10 31 N
11 31 N
12 31 N
13 31 N
16 31 N
17 31 N
18 31 N
19 31 N
20 31 N
21 31 N
22 31 N
23 31 N
24 31 N
26 31 N
27 31 N
28 31 N
29 31 N
32 31 N
35 31 N
36 31 N
38 31 N
1 32 N
4 32 N
5 32 N
6 32 N
7 32 N
10 32 N
13 32 N
15 32 N
16 32 N
17 32 N
18 32 N
19 32 N
20 32 N
21 32 N
22 32 N
24 32 N
26 32 N
29 32 N
32 32 N
33 32 N
35 32 N
38 32 N
0 33 N
1 33 N
4 33 N
7 33 N
8 33 N
9 33 N
10 33 N
13 33 N
16 33 N
18 33 N
20 33 N
22 33 N
24 33 N
26 33 N
29 33 N
30 33 N
31 33 N
32 33 N
35 33 N
38 33 N
39 33 N
1 34 N
2 34 N
3 34 N
4 34 N
7 34 N
10 34 N
11 34 N
12 34 N
13 34 N
16 34 N
18 34 N
20 34 N
22 34 N
24 34 N
26 34 N
27 34 N
28 34 N
29 34 N
32 34 N
35 34 N
37 34 N
38 34 N
1 35 N
4 35 N
5 35 N
6 35 N
7 35 N
10 35 N
13 35 N
15 35 N
16 35 N
18 35 N
20 35 N
22 35 N
24 35 N
26 35 N
29 35 N
32 35 N
34 35 N
35 35 N
38 35 N
0 36 N
1 36 N
4 36 N
7 36 N
8 36 N
9 36 N
10 36 N
13 36 N
18 36 N
20 36 N
22 36 N
24 36 N
26 36 N
29 36 N
30 36 N
31 36 N
32 36 N
35 36 N
38 36 N
39 36 N
1 37 N
2 37 N
3 37 N
4 37 N
7 37 N
10 37 N
11 37 N
12 37 N
13 37 N
15 37 N
16 37 N
17 37 N
18 37 N
20 37 N
22 37 N
24 37 N
26 37 N
27 37 N
28 37 N
29 37 N
32 37 N
35 37 N
36 37 N
37 37 N
38 37 N
1 38 N
4 38 N
5 38 N
6 38 N
7 38 N
10 38 N
13 38 N
20 38 N
22 38 N
26 38 N
29 38 N
32 38 N
33 38 N
35 38 N
38 38 N
0 39 N
1 39 N
4 39 N
7 39 N
8 39 N
9 39 N
10 39 N
13 39 N
15 39 N
16 39 N
17 39 N
18 39 N
19 39 N
20 39 N
22 39 N
23 39 N
24 39 N
26 39 N
29 39 N
30 39 N
31 39 N
32 39 N
35 39 N
38 39 N
39 39 N
