40 40
17 24 N
17 25 N
17 26 N
17 27 N
17 29 N
17 32 N
17 33 N
17 34 N
17 35 N
17 36 N
17 38 N
18 0 N
18 2 N
18 4 N
18 7 N
18 11 N
18 13 N
18 14 N
18 15 N
18 16 N
18 17 N
18 18 N
18 21 N
18 23 N
18 25 N
18 27 N
18 29 N
18 30 N
18 31 N
18 32 N
18 36 N
18 38 N
19 0 N
19 1 N
19 2 N
19 4 N
19 5 N
19 7 N
19 8 N
19 9 N
19 11 N
19 13 N
19 18 N
19 21 N
19 22 N
19 23 N
19 24 N
19 25 N
19 26 N
19 27 N
19 35 N
19 36 N
19 37 N
19 38 N
20 0 N
20 2 N
20 7 N
20 13 N
20 14 N
20 15 N
20 16 N
20 17 N
20 18 N
20 19 N
20 20 N
20 21 N
20 22 N
20 23 N
20 24 N
20 25 N
20 27 N
20 28 N
20 29 N
20 30 N
20 31 N
20 32 N
20 33 N
21 0 N
21 2 N
21 4 N
21 5 N
21 6 N
21 7 N
21 8 N
21 9 N
21 13 N
21 14 N
21 15 N
21 16 N
21 17 N
21 18 N
21 19 N
21 21 N
21 22 N
21 23 N
21 25 N
21 26 N
21 27 N
21 33 N
21 35 N
21 36 N
21 37 N
21 38 N
22 0 N
22 4 N
22 11 N
22 21 N
22 22 N
22 23 N
22 24 N
22 26 N
22 27 N
22 28 N
22 29 N
22 30 N
22 31 N
22 33 N
22 35 N
22 38 N
23 0 N
23 1 N
23 2 N
23 3 N
23 4 N
23 5 N
23 6 N
23 7 N
23 8 N
23 9 N
23 10 N
23 11 N
23 13 N
23 14 N
23 15 N
23 16 N
23 17 N
23 19 N
23 20 N
23 21 N
23 23 N
23 24 N
23 25 N
23 26 N
23 27 N
23 30 N
23 31 N
23 33 N
23 38 N
24 1 N
24 3 N
24 4 N
24 13 N
24 14 N
24 15 N
24 16 N
24 25 N
24 30 N
24 31 N
24 33 N
24 34 N
24 35 N
24 36 N
24 37 N
24 38 N
25 1 N
25 3 N
25 4 N
25 5 N
25 6 N
25 7 N
25 9 N
25 10 N
25 13 N
25 19 N
25 22 N
25 23 N
25 25 N
25 27 N
25 28 N
25 30 N
25 31 N
25 33 N
26 1 N
26 7 N
26 9 N
26 10 N
26 11 N
26 12 N
26 13 N
26 14 N
26 15 N
26 16 N
26 17 N
26 19 N
26 20 N
26 21 N
26 22 N
26 25 N
26 27 N
26 28 N
26 30 N
26 31 N
26 33 N
26 34 N
26 35 N
26 36 N
26 37 N
26 38 N
26 39 N
27 1 N
27 2 N
27 3 N
27 4 N
27 5 N
27 7 N
27 11 N
27 12 N
27 13 N
27 14 N
27 15 N
27 16 N
27 17 N
27 19 N
27 22 N
27 23 N
27 24 N
27 25 N
27 27 N
27 28 N
27 29 N
27 30 N
27 31 N
27 33 N
27 39 N
28 1 N
28 3 N
28 4 N
28 5 N
28 7 N
28 8 N
28 9 N
28 11 N
28 12 N
28 13 N
28 14 N
28 15 N
28 17 N
28 22 N
28 24 N
28 27 N
28 28 N
28 30 N
28 31 N
28 33 N
28 36 N
28 37 N
28 39 N
29 1 N
29 2 N
29 3 N
29 7 N
29 9 N
29 11 N
29 12 N
29 13 N
29 14 N
29 15 N
29 17 N
29 20 N
29 24 N
29 26 N
29 27 N
29 28 N
29 30 N
29 31 N
29 33 N
29 36 N
29 37 N
29 39 N
30 1 N
30 2 N
30 3 N
30 5 N
30 6 N
30 7 N
30 9 N
30 11 N
30 12 N
30 13 N
30 14 N
30 15 N
30 17 N
30 20 N
30 21 N
30 22 N
30 23 N
30 24 N
30 26 N
30 27 N
30 28 N
30 30 N
30 31 N
30 33 N
30 34 N
30 35 N
30 36 N
30 39 N
31 5 N
31 9 N
31 17 N
31 21 N
31 30 N
31 31 N
31 33 N
31 36 N
31 37 N
31 39 N
32 0 N
32 1 N
32 2 N
32 3 N
32 4 N
32 5 N
32 9 N
32 10 N
32 11 N
32 12 N
32 13 N
32 14 N
32 15 N
32 16 N
32 17 N
32 19 N
32 20 N
32 21 N
32 22 N
32 23 N
32 25 N
32 26 N
32 27 N
32 28 N
32 29 N
32 30 N
32 31 N
32 33 N
32 36 N
32 37 N
32 39 N
33 0 N
33 2 N
33 5 N
33 6 N
33 7 N
33 8 N
33 9 N
33 13 N
33 19 N
33 20 N
33 21 N
33 22 N
33 23 N
33 24 N
33 25 N
33 26 N
33 27 N
33 28 N
33 29 N
33 30 N
33 31 N
33 33 N
33 34 N
33 35 N
33 39 N
34 0 N
34 2 N
34 5 N
34 13 N
34 19 N
34 20 N
34 22 N
34 23 N
34 33 N
34 35 N
34 39 N
35 0 N
35 2 N
35 3 N
35 4 N
35 5 N
33 29 N
33 30 N
33 31 N
33 33 N
33 34 N
33 35 N
33 39 N
35 13 N
35 15 N
35 16 N
35 17 N
35 19 N
35 20 N
35 21 N
35 22 N
35 23 N
35 33 N
35 35 N
35 39 N
36 0 N
36 2 N
36 13 N
36 14 N
36 15 N
36 17 N
36 18 N
36 19 N
36 20 N
36 21 N
36 22 N
36 23 N
36 33 N
36 35 N
36 36 N
36 37 N
36 38 N
36 39 N
37 0 N
37 4 N
37 5 N
37 6 N
37 7 N
37 8 N
37 9 N
37 10 N
37 11 N
37 12 N
37 13 N
37 17 N
37 33 N
38 0 N
38 1 N
38 2 N
38 3 N
3 -100 N
38 4 N
38 13 N
38 14 N
38 15 N
200 1 N
38 16 N
38 17 N
38 33 N
38 34 N
38 35 N
38 36 N
38 37 N
