41 41 
11 22 N
11 23 N
11 25 N
11 27 N
11 28 N
11 29 N
11 31 N
11 33 N
11 34 N
11 35 N
11 37 N
11 39 N
12 1 N
12 3 N
12 9 N
12 11 N
12 13 N
12 15 N
12 19 N
12 21 N
12 23 N
12 25 N
12 27 N
12 31 N
12 35 N
12 37 N
12 39 N
13 1 N
13 3 N
13 4 N
13 5 N
13 6 N
13 7 N
13 8 N
13 9 N
13 11 N
13 12 N
13 13 N
13 15 N
13 17 N
13 18 N
13 19 N
13 21 N
13 23 N
13 24 N
13 25 N
13 27 N
13 28 N
13 29 N
13 30 N
13 31 N
13 32 N
13 33 N
13 34 N
13 35 N
13 37 N
13 39 N
14 1 N
14 3 N
14 5 N
14 7 N
14 15 N
14 17 N
14 23 N
14 25 N
14 31 N
14 37 N
14 39 N
15 1 N
15 3 N
15 5 N
15 7 N
15 9 N
15 10 N
15 11 N
15 12 N
15 13 N
15 14 N
15 15 N
15 17 N
15 18 N
15 19 N
15 20 N
15 21 N
15 23 N
15 25 N
15 27 N
15 28 N
15 29 N
15 31 N
15 33 N
15 34 N
15 35 N
15 36 N
15 37 N
15 39 N
16 1 N
16 7 N
16 9 N
16 21 N
16 25 N
16 27 N
16 29 N
16 31 N
16 33 N
16 39 N
17 1 N
17 2 N
17 3 N
17 4 N
17 5 N
17 7 N
17 9 N
17 11 N
17 12 N
17 13 N
17 14 N
17 15 N
17 17 N
17 18 N
17 19 N
17 20 N
17 21 N
17 23 N
17 25 N
17 26 N
17 27 N
17 29 N
17 31 N
17 32 N
17 33 N
17 35 N
17 36 N
17 37 N
17 38 N
17 39 N
18 5 N
18 7 N
18 8 N
18 9 N
18 10 N
18 11 N
18 15 N
18 21 N
18 23 N
18 25 N
18 29 N
18 31 N
18 35 N
19 1 N
19 2 N
19 3 N
19 5 N
19 7 N
19 8 N
19 9 N
19 10 N
19 11 N
19 13 N
19 15 N
19 16 N
19 17 N
19 18 N
19 19 N
19 21 N
19 23 N
19 24 N
19 25 N
19 27 N
19 28 N
19 29 N
19 31 N
19 33 N
19 34 N
19 35 N
19 37 N
19 38 N
19 39 N
20 1 N
20 3 N
20 5 N
20 7 N
20 10 N
20 11 N
20 13 N
20 19 N
20 21 N
20 27 N
20 29 N
20 31 N
20 35 N
20 37 N
21 1 N
21 2 N
21 3 N
21 5 N
21 6 N
21 7 N
21 8 N
21 11 N
21 13 N
21 14 N
21 15 N
21 16 N
21 17 N
21 19 N
21 21 N
21 22 N
21 23 N
21 24 N
21 25 N
21 27 N
21 28 N
21 29 N
21 31 N
21 32 N
21 33 N
21 35 N
21 37 N
21 38 N
21 39 N
22 1 N
22 7 N
22 8 N
22 9 N
22 10 N
22 11 N
22 15 N
22 19 N
22 21 N
22 23 N
22 25 N
22 27 N
22 29 N
22 30 N
22 31 N
22 33 N
22 35 N
22 37 N
22 39 N
23 1 N
23 2 N
23 3 N
23 4 N
23 5 N
23 6 N
23 7 N
23 8 N
23 9 N
23 10 N
23 11 N
23 12 N
23 13 N
23 15 N
23 17 N
23 18 N
23 19 N
23 21 N
23 23 N
23 25 N
23 26 N
23 27 N
23 28 N
23 30 N
23 32 N
23 33 N
23 35 N
23 37 N
23 39 N
24 5 N
24 13 N
24 15 N
24 17 N
24 19 N
24 28 N
24 29 N
24 31 N
24 32 N
24 35 N
24 39 N
25 1 N
25 2 N
25 3 N
25 5 N
25 8 N
25 9 N
25 10 N
25 11 N
25 12 N
25 13 M
25 15 N
25 16 N
25 17 N
25 19 N
25 20 N
25 21 N
25 22 N
25 23 N
25 25 N
25 27 N
25 28 N
25 30 N
25 32 N
25 33 N
25 34 N
25 35 N
25 36 N
25 37 N
25 38 N
25 39 N
26 1 N
26 3 N
26 5 N
26 9 N
26 23 N
26 25 N
26 27 N
26 29 N
26 30 N
26 31 N
26 33 N
26 39 N
27 1 N
27 2 N
27 3 N
27 5 N
27 6 N
27 7 N
27 9 N
27 10 N
27 11 N
27 13 N
27 14 N
27 15 N
27 17 N
27 18 N
27 19 N
27 20 N
27 21 N
27 22 N
27 23 N
27 25 N
27 26 N
27 27 N
27 28 N
27 29 N
27 31 N
27 32 N
27 33 N
27 35 N
27 37 N
27 38 N
27 39 N
28 1 N
28 3 N
28 7 N
28 11 N
28 13 N
28 15 N
28 17 N
28 25 N
28 29 N
28 35 N
28 37 N
29 1 N
29 2 N
29 3 N
29 5 N
29 7 N
29 8 N
29 9 N
29 11 N
29 13 N
29 15 N
29 17 N
29 19 N
29 20 N
29 21 N
29 22 N
29 23 N
29 25 N
29 26 N
29 27 N
29 29 N
29 31 N
29 32 N
29 33 N
29 35 N
29 36 N
29 37 N
29 39 N
30 1 N
30 5 N
30 9 N
30 11 N
30 13 N
30 15 N
30 17 N
30 21 N
30 27 N
30 29 N
30 31 N
30 33 N
30 35 N
30 39 N
31 1 N
31 2 N
31 3 N
31 5 N
31 6 N
31 7 N
31 8 N
31 9 N
31 11 N
31 12 N
31 13 N
31 15 N
31 17 N
31 18 N
31 19 N
31 21 M
31 22 N
31 23 N
31 24 N
31 25 N
31 27 N
31 29 N
31 31 N
31 32 N
31 33 N
31 35 N
31 36 N
31 37 N
31 38 N
31 39 N
32 1 N
32 3 N
32 5 N
32 11 N
32 15 N
32 19 N
32 21 N
32 25 N
32 27 N
32 29 N
32 31 N
32 33 N
32 35 N
32 39 N
33 1 N
33 3 N
33 5 N
33 7 N
33 8 N
33 9 N
33 10 N
33 11 N
33 13 N
33 14 N
33 15 N
33 17 N
33 19 N
33 21 N
33 22 N
33 23 N
33 25 N
33 27 N
33 29 N
33 30 N
33 31 N
33 32 N
33 33 N
33 34 N
33 35 N
33 37 N
33 38 N
33 39 N
34 1 N
34 3 N
34 5 N
34 9 N
34 13 N
34 17 N
34 19 N
34 21 N
34 25 N
34 27 N
34 35 N
34 39 N
35 1 N
35 3 N
35 5 N
35 6 N
35 7 N
35 9 N
35 10 N
35 11 N
35 13 N
35 15 N
35 16 N
35 17 N
35 18 N
35 19 N
35 21 N
35 22 N
35 23 N
35 25 N
35 26 N
35 27 N
35 29 N
35 30 N
35 31 N
35 32 N
35 33 N
35 35 N
35 36 N
35 37 N
36 1 N
36 3 N
36 7 N
36 9 N
36 11 N
36 13 N
36 15 N
36 21 N
36 29 N
36 33 N
36 37 N
37 1 N
37 3 N
37 4 N
37 5 N
37 7 N
37 9 N
37 11 N
37 12 N
37 13 N
37 15 N
37 16 N
37 17 N
37 18 N
37 19 N
37 21 N
37 23 N
37 24 N
37 25 N
37 26 N
37 27 N
37 29 N
37 31 N
37 32 N
37 33 N
37 35 N
37 36 N
37 37 N
37 39 N
38 1 N
38 3 N
38 7 N
38 13 N
38 15 N
38 17 N
38 19 N
38 23 N
38 25 N
38 27 N
38 29 N
38 31 N
38 35 N
38 37 N
38 39 N
39 1 N
39 3 N
39 4 N
39 5 N
39 6 N
39 7 N
39 8 N
39 9 N
39 10 N
39 11 N
39 12 N
39 13 N
39 15 N
39 17 N
39 19 N
39 20 N
39 21 N
39 22 N
39 23 N
39 25 N
39 27 N
39 28 N
39 29 N
39 31 N
39 32 N
39 33 N
39 34 N
39 35 N
39 37 N
39 38 N
39 39 S
